Week ending,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,Total Lower 48
10/04/2015,2.2%,1.7%,3.2%,4.1%,1.8%,3.3%,2.1%,1.2%
17/04/2015,2.1%,1.7%,3.1%,4.0%,1.7%,3.0%,2.1%,1.1%
24/04/2015,2.1%,1.7%,3.1%,3.6%,1.7%,2.9%,2.0%,1.1%
01/05/2015,2.1%,1.6%,2.9%,3.6%,1.6%,2.7%,2.0%,1.0%
08/05/2015,1.9%,1.6%,2.8%,3.4%,1.6%,2.8%,2.0%,1.0%
15/05/2015,1.9%,1.6%,2.7%,3.4%,1.6%,2.7%,2.0%,1.0%
22/05/2015,1.9%,1.5%,2.6%,3.3%,1.6%,2.6%,2.0%,1.0%
29/05/2015,1.9%,1.5%,2.4%,3.2%,1.7%,2.6%,2.1%,1.0%
05/06/2015,2.0%,1.5%,2.3%,3.2%,1.7%,2.7%,2.1%,1.0%
12/06/2015,2.0%,1.5%,2.2%,3.3%,1.7%,2.9%,2.1%,1.0%
19/06/2015,1.9%,1.5%,2.2%,3.2%,1.6%,2.8%,2.0%,0.9%
26/06/2015,1.9%,1.5%,2.1%,3.2%,1.6%,2.8%,2.0%,0.9%
03/07/2015,1.9%,1.5%,2.0%,3.2%,1.6%,2.9%,2.0%,0.9%
10/07/2015,1.9%,1.5%,1.9%,3.3%,1.7%,3.2%,1.9%,0.9%
17/07/2015,1.8%,1.5%,1.8%,3.3%,1.6%,3.2%,1.9%,0.9%
24/07/2015,1.7%,1.6%,1.8%,3.2%,1.6%,3.3%,1.9%,0.9%
31/07/2015,1.7%,1.6%,1.8%,3.2%,1.6%,3.4%,1.9%,0.9%
07/08/2015,1.6%,1.6%,1.8%,3.0%,1.7%,3.5%,1.9%,0.9%
14/08/2015,1.6%,1.6%,1.9%,2.9%,1.7%,3.7%,1.9%,0.9%
21/08/2015,1.5%,1.7%,2.1%,2.8%,1.7%,3.8%,1.8%,0.9%
28/08/2015,1.4%,1.7%,2.2%,2.7%,1.7%,3.9%,1.8%,0.9%
04/09/2015,1.4%,1.8%,2.3%,2.6%,1.7%,4.0%,1.8%,0.9%
11/09/2015,1.4%,1.8%,2.3%,2.7%,1.7%,4.0%,1.7%,0.9%
18/09/2015,1.4%,1.8%,2.3%,2.6%,1.6%,3.9%,1.7%,0.9%
25/09/2015,1.4%,1.8%,2.3%,2.7%,1.6%,3.9%,1.7%,0.9%
02/10/2015,1.4%,1.8%,2.2%,2.9%,1.6%,3.9%,1.7%,0.9%
09/10/2015,1.4%,1.8%,2.1%,2.8%,1.6%,3.8%,1.6%,0.9%
16/10/2015,1.4%,1.8%,2.0%,2.9%,1.5%,3.5%,1.6%,0.8%
23/10/2015,1.4%,1.8%,1.9%,2.9%,1.5%,3.5%,1.6%,0.8%
30/10/2015,1.4%,1.9%,1.9%,2.8%,1.5%,3.3%,1.6%,0.8%
06/11/2015,1.4%,1.9%,1.9%,2.8%,1.5%,3.3%,1.6%,0.8%
13/11/2015,1.4%,1.9%,1.6%,2.7%,1.5%,3.4%,1.6%,0.8%
20/11/2015,1.4%,1.9%,1.6%,2.7%,1.5%,3.4%,1.6%,0.9%
27/11/2015,1.4%,1.9%,1.5%,2.9%,1.5%,3.4%,1.6%,0.9%
04/12/2015,1.4%,1.9%,1.5%,2.8%,1.5%,3.5%,1.6%,0.9%
11/12/2015,1.5%,1.9%,1.5%,3.0%,1.6%,3.7%,1.6%,0.9%
18/12/2015,1.5%,1.9%,1.5%,3.1%,1.6%,3.7%,1.6%,0.9%
25/12/2015,1.5%,1.9%,1.5%,3.3%,1.6%,3.6%,1.6%,0.9%
01/01/2016,1.6%,1.8%,1.6%,3.4%,1.6%,3.7%,1.7%,0.9%
08/01/2016,1.6%,1.8%,1.6%,3.3%,1.6%,3.6%,1.7%,0.9%
15/01/2016,1.7%,1.7%,1.7%,3.3%,1.6%,3.6%,1.7%,0.9%
22/01/2016,1.7%,1.7%,1.7%,3.4%,1.6%,3.4%,1.7%,0.9%
29/01/2016,1.8%,1.6%,1.7%,3.7%,1.6%,3.4%,1.7%,0.9%
05/02/2016,1.8%,1.6%,1.8%,3.8%,1.6%,3.4%,1.7%,0.9%
12/02/2016,1.9%,1.8%,1.9%,4.2%,1.6%,3.4%,1.8%,0.9%
19/02/2016,1.9%,1.9%,1.9%,4.2%,1.6%,3.4%,1.8%,1.0%
26/02/2016,1.9%,1.9%,2.0%,4.3%,1.6%,3.6%,1.8%,1.0%
04/03/2016,2.0%,1.9%,2.1%,4.2%,1.7%,3.6%,1.8%,1.0%
11/03/2016,2.1%,2.0%,2.2%,4.4%,1.7%,3.7%,1.8%,1.0%
18/03/2016,2.2%,2.0%,2.3%,4.6%,1.7%,3.7%,1.8%,1.1%
25/03/2016,2.4%,2.0%,2.4%,4.8%,1.7%,3.8%,1.9%,1.1%
01/04/2016,2.5%,2.1%,2.4%,4.6%,1.7%,3.8%,1.9%,1.1%
08/04/2016,2.6%,1.9%,2.5%,4.6%,1.7%,3.8%,1.9%,1.1%
15/04/2016,2.7%,1.8%,2.6%,4.6%,1.7%,3.7%,1.9%,1.1%
22/04/2016,2.6%,1.6%,2.5%,4.5%,1.7%,3.7%,1.9%,1.1%
29/04/2016,2.6%,1.4%,2.5%,4.6%,1.7%,3.6%,1.9%,1.1%
